poi_name,poi_id,region,category,current_ticket_price,website_url,egyptian,foreigner,currency
Bibliotheca Alexandrina,73,Alexandria,cultural,70.0,https://www.bibalex.org/ar/default,,,EGP
Alexandria National Museum,77,Alexandria,cultural,100.0,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/alexmusuem.html,,,EGP
Royal Jewelry Museum,305,Alexandria,cultural,100.0,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/jewlerymusuem.html,,,EGP
Greco-Roman Museum,306,Alexandria,cultural,150.0,http://www.alexandria.gov.eg/Alex/english/Graeco%20Roman%20Museum.html,,,EGP
Cavafy Museum,307,Alexandria,cultural,30.0,,,,EGP
Museum of Fine Arts,308,Alexandria,cultural,20.0,https://m.facebook.com/MogamaaAlIskandareyaLelFnoon/?locale2=ar_AR,,,EGP
Planetarium Science Center,309,Alexandria,cultural,50.0,https://www.bibalex.org/PSC,,,EGP
Mahmoud Said Museum,310,Alexandria,cultural,40.0,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/mahmoudsaid_mus.html,,,EGP
Alexandria Aquarium,311,Alexandria,cultural,20.0,,,,EGP
Manuscripts Museum,313,Alexandria,cultural,30.0,https://www.bibalex.org/ar/default,,,EGP
San Stefano Mall,326,Alexandria,entertainment,,https://www.facebook.com/a2daysan?mibextid=ZbWKwL,,,EGP
Greek Club,331,Alexandria,entertainment,,https://www.yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%89-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%89-%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%89/28810,,,EGP
Smouha Club,332,Alexandria,entertainment,,http://www.smouhaclub.com/,,,EGP
Citadel of Qaitbay,74,Alexandria,historical,60.0,,,,EGP
Catacombs of Kom El Shoqafa,75,Alexandria,historical,80.0,,,,EGP
Pompey's Pillar,78,Alexandria,historical,80.0,,,,EGP
Qaitbay Citadel,115,Alexandria,historical,40.0,,,,EGP
Roman Amphitheatre,297,Alexandria,historical,80.0,,,,EGP
Villa of the Birds,298,Alexandria,historical,60.0,,,,EGP
Serapeum of Alexandria,300,Alexandria,historical,80.0,,,,EGP
Taposiris Magna,301,Alexandria,historical,50.0,,,,EGP
El-Alamein War Cemetery,302,Alexandria,historical,,https://www.cwgc.org/find-a-cemetery/cemetery/2019000/EL%20ALAMEIN%20WAR%20CEMETERY,,,EGP
Sunken City (Abukir),303,Alexandria,historical,500.0,,,,EGP
Roman Baths (Kom El Deka),304,Alexandria,historical,80.0,http://www.alexandria.gov.eg/services/tourism/alextourism/museums/roman_th.html,,,EGP
Montazah Palace Gardens,76,Alexandria,natural,20.0,,,,EGP
Montaza Palace Gardens,321,Alexandria,natural,25.0,,,,EGP
Antoniadis Gardens,324,Alexandria,natural,20.0,http://www.antoniads.com/,,,EGP
Shallalat Gardens,325,Alexandria,natural,,http://www.shalalat.com/team-22.html,,,EGP
Africano Park,328,Alexandria,natural,400.0,https://africasafaripark.com/,,,EGP
Maamoura Beach,330,Alexandria,natural,50.0,,,,EGP
